street,area
Перемоги,45.0
Балтійський,0.0
Звіринецька,70.0
Ревуцького,0.0
Правди,80.0
Милославська,40.0
Вербицького,54.0
Новгородська,98.0
Бажана,185.0
Канівська,0.0
Максимовича,73.0
Донця,110.0
Драгомирова,40.0
Тираспольська,165.0
Саксаганського,74.0
Тираспольська,57.0
Зарічна,70.0
Гонгадзе,0.0
Українки,78.0
Світлицького,0.0
Воробйова,92.0
Каховська,54.0
Глибочицька,85.0
Білокур,350.0
Балтійський,0.0
Антоновича,170.0
Кондратюка,48.0
Гончара,55.0
Ревуцького,230.0
*** not found,0.0
Драгоманова,0.0
Сім’ї Кульженків,0.0
Панельна,0.0
Вільямса,29.0
Голосіївська,67.0
Оболонський,72.0
Миколи Голего,55.0
Дніпровська,0.0
Малиновського,0.0
Назарівська,62.0
Гоголівська,130.0
Дорогожицька,67.0
Петропавлівська,42.0
Грушевського,74.0
Іллєнка,88.0
Липківського,49.0
Ушинського,42.0
Польова,49.0
Саперне Поле,55.0
Панельна,42.0
Коновальця,142.0
Хмельницького,50.0
Маккейна,32.0
Антоновича,44.0
Толстого,52.0
Дружби Народів,156.0
Оболонський,123.0
Багговутівська,165.0
Антонова,66.0
Володимирська,0.0
Українки,41.0
Сім’ї Кульженків,42.0
Коновальця,61.0
Мирного,80.0
Московська,119.0
Жмеринська,53.0
Бойчука,63.0
Липківського,43.0
Лабораторний,86.0
Інститутська,120.0
Українки,108.0
Хрещатик,94.0
Дніпровська,115.0
Осокорська,0.0
Саперне Поле,55.0
Комарова,62.0
Драгомирова,53.0
Срібнокільська,0.0
Чоколівський,122.0
Звіринецька,90.0
Вишгородська,55.0
Драгомирова,40.0
Героїв Сталінграда,46.0
Будівельників,340.0
Іллєнка,41.0
Урлівська,47.0
Сормовська,55.0
Правди,79.0
Верховинна,65.0
Вербицького,32.0
*** not found,63.0
Велика Васильківська,50.0
Бойчука,36.0
Лобановського,35.0
Миколи Шепелєва,52.0
Кропивницького,50.0
Трускавецька,165.0
Голосіївська,71.0
Маланюка,110.0
Драгомирова,102.0
Юнацька,80.0
Максимовича,60.0
Комарова,70.0
Багговутівська,80.0
,84.0
Костанайська,72.0
Срібнокільська,96.0
Курчатова,32.0
Гусовського,113.0
Українки,119.0
Драгоманова,61.0
Дніпровська,75.0
Заболотного,0.0
Заболотного,82.0
Перемоги,98.0
Сверстюка,32.0
Липківського,37.0
Маккейна,96.0
Дніпровська,74.0
Волгоградська,54.0
Новопольова,88.0
Драгоманова,0.0
Лебедєва,65.0
*** not found,50.0
Драгомирова,100.0
Лейпцизька,125.0
Глибочицька,55.0
Салютна,55.0
Метрологічна,49.0
Північно-Сирецька,0.0
Правди,55.0
Вернадського,0.0
